Date,cpi_infl
01-01-1967,na
01-02-1967,3.6
01-03-1967,0.4
01-04-1967,3.6
01-05-1967,3.5
01-06-1967,3.6
01-07-1967,4.1
01-08-1967,3.7
01-09-1967,2.7
01-10-1967,4.6
01-11-1967,4.5
01-12-1967,3.8
01-01-1968,6.0
01-02-1968,3.8
01-03-1968,6.0
01-04-1968,3.8
01-05-1968,2.7
01-06-1968,9.2
01-07-1968,6.6
01-08-1968,6.0
01-09-1968,2.7
01-10-1968,7.4
01-11-1968,7.1
01-12-1968,7.5
01-01-1969,6.5
01-02-1969,3.9
01-03-1969,10.6
01-04-1969,8.3
01-05-1969,5.9
01-06-1969,4.3
01-07-1969,6.7
01-08-1969,6.3
01-09-1969,7.6
01-10-1969,4.2
01-11-1969,5.7
01-12-1969,7.1
01-01-1970,8.8
01-02-1970,9.4
01-03-1970,9.8
01-04-1970,6.2
01-05-1970,7.4
01-06-1970,6.7
01-07-1970,5.0
01-08-1970,7.6
01-09-1970,7.2
01-10-1970,3.9
01-11-1970,8.9
01-12-1970,7.2
01-01-1971,4.9
01-02-1971,1.3
01-03-1971,0.0
01-04-1971,3.9
01-05-1971,4.5
01-06-1971,8.9
01-07-1971,4.1
01-08-1971,4.5
01-09-1971,4.3
01-10-1971,0.4
01-11-1971,3.7
01-12-1971,3.9
01-01-1972,5.5
01-02-1972,2.6
01-03-1972,2.5
01-04-1972,2.8
01-05-1972,3.2
01-06-1972,4.3
01-07-1972,3.9
01-08-1972,3.3
01-09-1972,1.4
01-10-1972,2.9
01-11-1972,3.0
01-12-1972,2.4
01-01-1973,1.8
01-02-1973,3.1
01-03-1973,3.1
01-04-1973,4.1
01-05-1973,4.9
01-06-1973,3.4
01-07-1973,2.9
01-08-1973,7.1
01-09-1973,9.0
01-10-1973,13.0
01-11-1973,4.9
01-12-1973,7.0
01-01-1974,8.3
01-02-1974,8.4
01-03-1974,9.4
01-04-1974,7.5
01-05-1974,12.5
01-06-1974,14.1
01-07-1974,13.7
01-08-1974,14.0
01-09-1974,15.0
01-10-1974,12.7
01-11-1974,9.8
01-12-1974,13.0
01-01-1975,9.8
01-02-1975,10.3
01-03-1975,6.9
01-04-1975,8.9
01-05-1975,3.5
01-06-1975,8.1
01-07-1975,5.7
01-08-1975,3.9
01-09-1975,10.0
01-10-1975,7.6
01-11-1975,9.6
01-12-1975,8.0
01-01-1976,9.8
01-02-1976,6.5
01-03-1976,6.5
01-04-1976,3.1
01-05-1976,4.9
01-06-1976,7.0
01-07-1976,8.4
01-08-1976,7.0
01-09-1976,6.8
01-10-1976,5.1
01-11-1976,6.4
01-12-1976,3.1
01-01-1977,8.0
01-02-1977,6.5
01-03-1977,7.1
01-04-1977,8.9
01-05-1977,6.8
01-06-1977,9.1
01-07-1977,7.9
01-08-1977,6.5
01-09-1977,7.3
01-10-1977,6.0
01-11-1977,7.0
01-12-1977,7.4
01-01-1978,8.1
01-02-1978,6.1
01-03-1978,8.2
01-04-1978,8.6
01-05-1978,9.6
01-06-1978,9.6
01-07-1978,10.7
01-08-1978,9.6
01-09-1978,12.2
01-10-1978,11.5
01-11-1978,9.1
01-12-1978,5.6
01-01-1979,8.3
01-02-1979,12.1
01-03-1979,9.4
01-04-1979,11.5
01-05-1979,11.6
01-06-1979,11.8
01-07-1979,13.6
01-08-1979,14.9
01-09-1979,12.8
01-10-1979,14.9
01-11-1979,17.2
01-12-1979,15.1
01-01-1980,17.1
01-02-1980,13.7
01-03-1980,18.2
01-04-1980,16.6
01-05-1980,15.8
01-06-1980,19.7
01-07-1980,-4.3
01-08-1980,4.8
01-09-1980,10.6
01-10-1980,14.8
01-11-1980,14.6
01-12-1980,12.8
01-01-1981,9.0
01-02-1981,4.4
01-03-1981,7.1
01-04-1981,9.1
01-05-1981,14.5
01-06-1981,14.7
01-07-1981,19.3
01-08-1981,11.6
01-09-1981,15.6
01-10-1981,3.5
01-11-1981,5.7
01-12-1981,4.9
01-01-1982,4.5
01-02-1982,5.2
01-03-1982,-0.3
01-04-1982,11.4
01-05-1982,14.1
01-06-1982,12.5
01-07-1982,7.0
01-08-1982,4.8
01-09-1982,-0.7
01-10-1982,3.5
01-11-1982,-2.1
01-12-1982,-7.0
01-01-1983,6.6
01-02-1983,4.4
01-03-1983,2.4
01-04-1983,6.4
01-05-1983,2.8
01-06-1983,3.7
01-07-1983,4.3
01-08-1983,3.9
01-09-1983,4.0
01-10-1983,5.3
01-11-1983,5.7
01-12-1983,3.8
01-01-1984,6.8
01-02-1984,4.9
01-03-1984,3.9
01-04-1984,6.4
01-05-1984,3.5
01-06-1984,4.6
01-07-1984,5.6
01-08-1984,5.5
01-09-1984,5.3
01-10-1984,4.9
01-11-1984,4.1
01-12-1984,4.8
01-01-1985,3.0
01-02-1985,6.6
01-03-1985,5.0
01-04-1985,3.9
01-05-1985,6.9
01-06-1985,4.8
01-07-1985,4.3
01-08-1985,5.5
01-09-1985,3.4
01-10-1985,6.2
01-11-1985,7.2
01-12-1985,3.4
01-01-1986,6.1
01-02-1986,4.6
01-03-1986,6.2
01-04-1986,5.5
01-05-1986,3.0
01-06-1986,4.9
01-07-1986,3.5
01-08-1986,3.9
01-09-1986,4.9
01-10-1986,5.4
01-11-1986,3.5
01-12-1986,4.4
01-01-1987,4.2
01-02-1987,4.1
01-03-1987,4.1
01-04-1987,6.7
01-05-1987,3.7
01-06-1987,2.0
01-07-1987,3.4
01-08-1987,5.2
01-09-1987,5.0
01-10-1987,6.0
01-11-1987,3.2
01-12-1987,3.9
01-01-1988,5.2
01-02-1988,4.1
01-03-1988,4.9
01-04-1988,5.9
01-05-1988,4.4
01-06-1988,4.9
01-07-1988,3.8
01-08-1988,4.9
01-09-1988,5.6
01-10-1988,4.6
01-11-1988,4.8
01-12-1988,4.5
01-01-1989,4.7
01-02-1989,4.5
01-03-1989,4.5
01-04-1989,4.3
01-05-1989,5.9
01-06-1989,4.9
01-07-1989,5.5
01-08-1989,4.4
01-09-1989,3.4
01-10-1989,6.2
01-11-1989,4.7
01-12-1989,4.9
01-01-1990,5.6
01-02-1990,4.7
01-03-1990,7.8
01-04-1990,5.3
01-05-1990,4.5
01-06-1990,7.3
01-07-1990,7.3
01-08-1990,8.3
01-09-1990,4.5
01-10-1990,4.7
01-11-1990,3.4
01-12-1990,4.5
01-01-1991,7.6
01-02-1991,5.2
01-03-1991,3.2
01-04-1991,3.0
01-05-1991,3.9
01-06-1991,3.9
01-07-1991,4.6
01-08-1991,4.4
01-09-1991,5.1
01-10-1991,2.8
01-11-1991,4.1
01-12-1991,4.4
01-01-1992,4.0
01-02-1992,3.0
01-03-1992,4.6
01-04-1992,4.1
01-05-1992,2.2
01-06-1992,3.1
01-07-1992,3.5
01-08-1992,2.7
01-09-1992,1.7
01-10-1992,6.3
01-11-1992,4.0
01-12-1992,2.6
01-01-1993,4.6
01-02-1993,3.4
01-03-1993,1.8
01-04-1993,4.9
01-05-1993,3.8
01-06-1993,3.5
01-07-1993,1.8
01-08-1993,3.7
01-09-1993,3.3
01-10-1993,3.7
01-11-1993,4.2
01-12-1993,4.0
01-01-1994,2.5
01-02-1994,3.8
01-03-1994,3.7
01-04-1994,2.3
01-05-1994,2.2
01-06-1994,3.2
01-07-1994,2.3
01-08-1994,4.6
01-09-1994,2.7
01-10-1994,2.6
01-11-1994,3.7
01-12-1994,1.3
01-01-1995,5.5
01-02-1995,3.6
01-03-1995,4.2
01-04-1995,4.0
01-05-1995,2.8
01-06-1995,2.9
